	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
86725	that 's on my poor head and might be of a mind to try to collect it	that	DET	that	nsubj	price	the price	(21, 37)	('price', '.')	Got to steer clear of them , for sure , as the men on board could have heard of the price that 's on my poor head and might be of a mind to try to collect it .
86726	that end raggedly at his calves	that	DET	that	nsubj	trousers	the trousers	(24, 29)	('trousers', '.')	His hair is held back with a piece of old twine and I can see both his knees through the rips in the trousers that end raggedly at his calves .
86727	that surrounded the family 's farmhouse	that	DET	that	nsubj	woods	the shadowy woods	(11, 16)	('woods', '.')	Ivan Korske stared beyond his reflection , into the shadowy woods that surrounded the family 's farmhouse .
86728	that crinkled when he slipped it over his head	he	PRON	that	nsubj	top	A plastic suit top	(6, 14)	('top', 'came')	A plastic rubber-suit top that crinkled when he slipped it over his head came next .
86729	who rest temporarily downstairs	who	PRON	who	nsubj	people	all the dead people	(11, 14)	('people', ',')	And , of course , there are all the dead people who rest temporarily downstairs , until they go off to the Snapfinger Cemetery .
86730	that makes	that	DET	that	nsubj	you	you	(15, 16)	('die', 'the')	"He tells me , then he says , "" It 's not how you die that makes"
86731	that pooled around her feet	that	DET	that	nsubj	slip	a red slip	(23, 27)	('slip', '.')	Into the middle of all this commotion clomped my little sister , Merry , wearing Mama 's high heels and a red slip that pooled around her feet .
86732	that 's not a door	that	DET	that	nsubj	door	the door	(13, 17)	('door', '.')	I stayed in the lighter part of the room , near the door that 's not a door .
86733	that was n't my fault	that	DET	that	nsubj	thing	some stupid thing	(9, 13)	('thing', ',')	Sosta had been scolding me for some stupid thing that was n't my fault , and when I was rude back to her
86734	which put me in a fury	which	DET	which	nsubj	hair	""" sheep hair"	(8, 13)	"('""', '.')"	"she called me "" sheep hair , "" which put me in a fury ."
86735	who worked in Galvamand	who	PRON	who	nsubj	people	all the people	(10, 13)	('people', '.')	My mother Decalo was in charge of all the people who worked in Galvamand .
86736	who had her	who	PRON	who	nsubj	soldiers	the soldiers	(3, 5)	('soldiers', 'were')	Then the soldiers who had her were attacked by citizens , and in the fighting she managed to get away and get home to Galvamand.
86737	that should warrant police involvement	that	DET	that	nsubj	charges	charges	(10, 14)	('charges', '.')	Mrs. Brando wants to file serious charges--charges that should warrant police involvement . . .
86738	that has such noses in it	that	DET	that	nsubj	World	O brave New World	(11, 16)	('World', '!')	"Let me give you an example : O brave New World that has such noses in it ! """
86739	who can win a race by a nose before the starter has even fired his gun	starter	NOUN	who	nsubj	man	the only man	(11, 26)	('man', '!')	"The Insult Unsporting : You must be the only man who can win a race by a nose before the starter has even fired his gun ! """
86740	who snatched it quick as a toad 's tongue	who	PRON	who	nsubj	troll	the troll	(14, 22)	(',', '.')	He counted out a sheaf of them and extended it to the troll , who snatched it quick as a toad 's tongue .
86741	who let me drown in a Porta Potti and become a vampire	me	PRON	who	nsubj	God	a God	(11, 22)	('God', ',')	I do n't know if I can believe in a God who let me drown in a Porta Potti and become a vampire , but I 'm willing to keep an open mind .
86742	who called herself Blanche and claimed to be from New Orleans even when everything about her except the put - on accent screamed	everything	PRON	who	nsubj	one	the one	(10, 32)	('one', 'East')	The blood was coming from the woman , the one who called herself Blanche and claimed to be from New Orleans even when everything about her except the put-on accent screamed
86743	that felled the second	that	DET	that	nsubj	shotgun	the shotgun	(16, 19)	('shotgun', '.')	From the first , the guy jammed in the window , he 'd taken the shotgun that felled the second .
86744	who tended to be the other guys on the set with nothing much to do for most of the day	who	PRON	who	nsubj	screenwriters	screenwriters	(19, 38)	(',', ',')	He never went to see movies he drove for , but sometimes , after hanging out with screenwriters , who tended to be the other guys on the set with nothing much to do for most of the day , he 'd read the books they were based on .
86745	who right up till the day he left registered surprise whenever he came through the front door or emerged from the tiny attic room where he lived like a wren	he	PRON	who	nsubj	Smith	a Mr. Smith	(15, 44)	('Tucson', '.')	Driver they packed off to foster parents , a Mr. and Mrs. Smith in Tucson who right up till the day he left registered surprise whenever he came through the front door or emerged from the tiny attic room where he lived like a wren .
86746	who bought you	who	PRON	who	nsubj	one	the one	(4, 6)	('one', '.')	"Dance with the one who bought you . """
86747	who did make it	who	PRON	who	nsubj	people	people	(7, 10)	('people', '.')	I scan the list of people who did make it .
86748	that covers groceries	that	DET	that	nsubj	paycheck	a paycheck	(14, 16)	('paycheck', '.')	I just want a suit and a cape , steady work , a paycheck that covers groceries .
86749	which was a mistake	which	DET	which	nsubj	book	the phone book	(13, 16)	(',', ',')	A couple of years ago I listed myself in the phone book , which was a mistake , because you can imagine the crank calls I get .
86750	which I set up for him years ago	I	PRON	which	dobj	blanket	a thin blanket	(11, 18)	(',', '.')	He 's got a futon with a thin blanket , which I set up for him years ago .
86751	who live upstairs from them	who	PRON	who	nsubj	men	the lonely old men	(16, 20)	('men', '.')	The only kinds of people in this metropolis are failed superheroes and the lonely old men who live upstairs from them .
86752	that started by the river of Las Tortugas	that	DET	that	nsubj	remorse	A remorse	(2, 9)	('remorse', '.')	A remorse that started by the river of Las Tortugas .
86753	who wet his bed	who	PRON	who	nsubj	husband	a husband	(16, 19)	('husband', '.')	For the first five years of their marriage Merced felt no shame in having a husband who wet his bed .
86754	that was sore and full of sadness	that	DET	that	nsubj	voice	a voice	(16, 22)	('voice', '.')	""" Merced , it is just you and me , "" he said with a voice that was sore and full of sadness ."
86755	that had driven her away	that	DET	that	nsubj	warmth	the wet warmth	(25, 29)	('warmth', '.')	At night , instead of sleeping nestled between my mother 's breasts , I slept next to my father and felt the wet warmth that had driven her away .
86756	who wore a silver sequined mask	who	PRON	who	nsubj	man	a man	(13, 18)	('man', '.')	I remember my father lifting me and making me look at a man who wore a silver sequined mask .
86757	that could sound rude if you do n't imagine it correctly	you	PRON	that	nsubj	way	a way	(20, 30)	('way', ',')	Laura took a breath and quietly blew her words out toward the lady , telling her in a way that could sound rude if you do n't imagine it correctly , Well , she 's here .
86758	that take pllace in the house or in the city	that	DET	that	nsubj	stories	stories	(11, 20)	('realism', ',')	I get more of a bang out of stories of realism that take pllace in the house or in the city , nothing on the open range , no forest or jungle except for Heart of Darkness , and except for Moby Dick , no man versus nature .
86759	who 're jubus about unwrapping a new cake of soap because of the nightmare possibility of seeing an innocent , trapped face staring up at you	face	NOUN	who	nsubj	myself	myself	(21, 46)	(',', ',')	People my age are old enough to know better , but I know some on my road , including myself , who 're jubus about unwrapping a new cake of soap because of the nightmare possibility of seeing an innocent , trapped face staring up at you , permanently pressed there after a bad snatched hostage ordeal at Old Soap Molly 's house .
86760	that had begun in 1917 with Lenin	that	DET	that	nsubj	tyrants	tyrants	(12, 18)	('tyrants', ',')	Yet he was a blooded successor to a line of tyrants that had begun in 1917 with Lenin , followed by Stalin , a thirty-year curse .
86761	who had tipped off Blackford Oakes	who	PRON	who	nsubj	defector	the clandestine defector	(20, 25)	('defector', '.')	Yes-if necessary-even if it meant exposing the deeply hidden Soviet asset , the clandestine defector who had tipped off Blackford Oakes .
86762	who finally did away with Caligula	who	PRON	who	nsubj	Romans	well , the Romans	(5, 10)	('Romans', '?')	well , the Romans who finally did away with Caligula ?
86763	who said he was actually astonished by his moderation	who	PRON	who	nsubj	killer	the British serial killer	(10, 18)	('killer', '?')	""" You know the one about the British serial killer who said he was actually astonished by his moderation ?"
86764	that blast their air horns incessantly as they roll through the streets	they	PRON	that	nsubj	cabs	trailer cabs	(28, 39)	('cabs', '.')	Rather than the ornate and glamorous confections boasted by the bigger , richer krewes , their floats are basically giant wooden boxes pulled by tractor-trailer cabs that blast their air horns incessantly as they roll through the streets .
86765	that remained	that	DET	that	nsubj	vestiges	The only vestiges	(5, 6)	('downtown', 'were')	The only vestiges of downtown that remained were their gritty Brooklynesque accents and a certain reluctance to take any shit off of anyone , be it a lazy line cook , a purveyor delivering inferior produce , or a diner with an unjustified complaint about his meal .
86766	that seldom left him even when he was drunk or sleeping	he	PRON	that	nsubj	tension	a nervous tension	(47, 57)	('tension', '.')	"Not as tall as G-man and a little paunchy from a lifetime of sampling his own dishes , he was handsome enough to have been anointed a glamour boy by the national food press , but his features were sharpened by a nervous tension that seldom left him even when he was drunk or sleeping . """
86767	that never grew up	that	DET	that	nsubj	baby	a pound baby	(19, 22)	('baby', '.')	Of course , owning a restaurant was a lot like having a five-hundred-pound baby that never grew up .
